objectid,filename,dimensions,title,creator,creation date,description,subject,original location,current location,item name,identifier,type,format,language,rights
britleis01,chess.jpg,3.9 cm x 8.7 cm,Chess piece,Pacific Photo Co.,12th century (circa 1150-1199),Chess piece in the shape of a bearded man wearing a pointed hat and carrying a sword and shield.,universities;buildings;campuses;picture postcards,"Uig, Scotland",The British Museum,Toy,pg_9_12_01bl,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis02,chaucer.jpg,28.4 cm x 40 cm,Ellesmere manuscript page,,15th century (circa 1400-1410),"Manuscript page from the Ellesmere Chaucer, which contains The Canterbury Tales.",,"Ellesemere, England",The Huntington Library,Manuscript page,,Image;StillImage,image/jpeg,"English, Middle","Canterbury Tales, 1400-1410, HM mssEL 26 C 9, © The Huntington Library, San Marino, California."
britleis03,pendant.jpg,2 cm x 4 cm,Cross pendant,,circa 12th century,"Engraved, gold cross pendant with inset spherical glass fixture, to be worn around the neck.",,"Tullyallen, Ireland",The British Museum,Metalwork,,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis04,citole.jpg,18.6 cm x 61 cm,Citole,,13th-14th century (circa 1280-1330),"Wooden string instrument engraved with a forest pattern, along with the a coat of arms.",,England,The British Museum,Instrument,,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis05,beowulf.jpg,12 cm x 20.2 cm,Beowulf manuscript page,,10th-11th century (circa 990-1035),Manuscript page from the Nowell Codex containing the opening lines of the Anglo-Saxon epic poem Beowulf.,,England,The British Library,Manuscript page,,Image;StillImage,image/jpeg,"English, Old",© The British Library. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis06,pilgrim.jpg,3.5 cm x 2.5 cm,Pilgrim badge,,14th century (circa 1325-1350),"Metal bell with engraved inscription, which marks it as a souvenir item given for visiting the shrine of St. Thomas Becket in Canterbury.",,"Canterbury, England",The British Museum,Toy,,Image;StillImage,image/jpeg,Latin,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis07,book.jpg,22.3 cm x 33.5 cm,Book cover,,14th-15th century (circa 1300-1499),"Decorated book cover engraved with images of a family crest, a knight on horseback, a dragon, a griffin, and a group of men dancing. ",,"Donabate, Ireland",The National Museum of Ireland,Book cover,,Image;StillImage,image/jpeg,-,© National Museum of Ireland. Shared under a Creative Commons BY-SA 2.0 licence.
britleis08,misericord.jpg,unknown,Misericord,,14th century (circa 1350),Carving on the underside of a church folding seat which depicts two people playing ball.,,"Gloucester, England",Gloucester Cathedral,Woodwork,,Image;StillImage,image/jpeg,-,Dominic Strange © www.misericords.co.uk. Shared under a Creative Commons Attribution-Share Alike 3.0 Unported
britleis09,toy.jpg,4 cm x 5.3 cm,Knight toy,,13th-14th century,Figurine of a knight on horseback.,,"London, England",London Museum,Toy,,Image;StillImage,image/jpeg,-,© London Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis10,bagpipes.jpg,58 cm x 59 cm,Faery Bagpipes,,13th century,Set of bagpipes. The chanter is the only surviving piece from the original instrument.,,"Kinlochmoidart, Scotland",Museum of the Highlands,Instrument,,Image;StillImage,image/jpeg,-,© Museums and Heritage Highland.Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis11,case.jpg,23.2 cm x 3.3 cm,Case,,11th century,"Case possibly meant to hold a pen, a small whistle, or something similarly-sized. Sliding lid features carvings of warriors fighting creatures. ",,England,The British Museum,Woodwork,,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis12,harley.jpg,13 cm x 19 cm,Harley manuscript page (Sumer is icumen in),,13th century,"Page from the Harley manuscript which contains sheet music and lyrics for the song 'Sumer is icumen in' ('Summer has come'), which was sung in a round.",,England,The British Library,Manuscript page,,Image;StillImage,image/jpeg,"English, Middle",© The British Library. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis13,sumer.ogg,-,Sumer is icumen in,,13th century,"Recording of the sheet music from the Harley manuscript, titled 'Sumer is icumen in' ('Summer has come'). ",,England,-,Audio,,Audio,audio/ogg,-,© Wikimedia Commons. Shared under a Creative Commons Attribution-Share Alike 4.0 International license.
britleis14,tile.jpg,24 cm x 24 cm,Floor tile,,13th century,"Tile depicting a scene from the tragic romance story of Tristam and Isolde. In the boat, Isolde is seen traveling to visit Tristam after he was banished to an island by Isolde's husband Mark. Unbeknownst to her, Tristram has died. This tile and others like it paved parts of the Chertsey Abbey.",,"Chertsey, England",The British Museum,Earthenware,,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
britleis15,vessel.jpg,22 cm x 27 cm,Knight vessel,,13th century,Pouring vessel in the form of a mounted knight.,,"Norfolk, England",The British Museum,Earthenware,,Image;StillImage,image/jpeg,-,© The Trustees of the British Museum. Shared under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) licence.
